quote,author,sentiment_score,sentiment
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,0.0777,Positive
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,0.0,Neutral
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,0.1779,Positive
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,0.0,Neutral
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,0.0,Neutral
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,-0.5106,Negative
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,0.8481,Positive
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,0.6369,Positive
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,0.3818,Positive
“We read to know we're not alone.”,William Nicholson,0.0,Neutral
“Any fool can know. The point is to understand.”,Albert Einstein,-0.4404,Negative
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,0.6369,Positive
“It is never too late to be what you might have been.”,George Eliot,0.0,Neutral
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,0.0,Neutral
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,0.0,Neutral
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,-0.09,Negative
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,0.5574,Positive
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,0.3612,Positive
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,0.9186,Positive
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,-0.3296,Negative
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,-0.25,Negative
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,0.0129,Neutral
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,0.8316,Positive
